domains,unicode,descript-IDNA,translate-IDNA,tags
xn--kyd5a00ca,ሽግግር,"Letters + ETHIOPIC SYLLABLE SHE, ETHIOPIC SYLLABLE GE, ETHIOPIC SYLLABLE GE, ETHIOPIC SYLLABLE RE",,PUNY_IDNA
xn--547hr7b,👑🆘,"Letters + CROWN, SQUARED SOS",,PUNY_IDNA
xn--yxdqy22a,መሠረት,"Letters + ETHIOPIC SYLLABLE MA, ETHIOPIC SYLLABLE SZA, ETHIOPIC SYLLABLE RA, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
nihilianistic,,,,
buystime,,,,
fidgetoys,,,,
pageless,,,,
xn--4kq62h49jxs4a,小二票务,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--sense,㽓㾂,"Letters + CJK UNIFIED IDEOGRAPH-3F53, CJK UNIFIED IDEOGRAPH-3F82",,PUNY_IDNA
lapofhonour,,,,
davyjonesslocker,,,,
xn--oceano-o12n50a,海洋oceano,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--opensea,ᗆᗌᗍᗍᖿ,"Letters + CANADIAN SYLLABICS CARRIER GHE, CANADIAN SYLLABICS CARRIER RE, CANADIAN SYLLABICS CARRIER REE, CANADIAN SYLLABICS CARRIER REE, CANADIAN SYLLABICS BLACKFOOT KA",,PUNY_IDNA
wartegg,,,,
countdata,,,,
dm73,,,,4C
genteelish,,,,
magicfun,,,,
stellarai,,,,
catcapers,,,,
darkaccount,,,,
lanina,,,,
notmove,,,,
fishabroad,,,,
sailorizing,,,,
amuseyourself,,,,
boatapp,,,,
trackproduct,,,,
nametrustee,,,,
unzmarkt,,,,
lobscuse,,,,
kepling,,,,
care24,,,,
xn--bo8h04a,🐓😀,"Letters + ROOSTER, GRINNING FACE",,PUNY_IDNA
meta-face,,,,
worldweariness,,,,
solarpass,,,,
rizzomed,,,,
lifenewsmedia,,,,
firtar,,,,
seaphoto,,,,
seasports,,,,
ch51,,,,4C
qazidara,,,,
xn--uisp1p,影城,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
8dab8,,,,5C
boatharbor,,,,
timetrekker,,,,
overwet,,,,
areopolis,,,,
eternitydao,,,,
rubyroo,,,,
nonewnews,,,,
digitaljpeg,,,,
xn--p8t,怠,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
swimmap,,,,
savingstop,,,,
shakedif,,,,
naturalpursuits,,,,
taol,,,,4L
suboffice,,,,
feelthe,,,,
meetdeath,,,,
tabooist,,,,
timeswelivein,,,,
leafwhisper,,,,
ietv,,,,4L
handshake-gear,,,,
xn--water,¦¡,,,"PUNY_ALT,PUNY_INVALID"
bacillusanthracis,,,,
mistervr,,,,
devilfishes,,,,
ecoeating,,,,
anonko,,,,
rapeye,,,,
grandscoop,,,,
bangtailmuster,,,,
todaolist,,,,
pandeism,,,,
xn--g77hka436c,🇨🇭🤝,"Letters + REGIONAL INDICATOR SYMBOL LETTER C, REGIONAL INDICATOR SYMBOL LETTER H, HANDSHAKE",,PUNY_IDNA
leaf-mold,,,,
aawww,,,,5L
foodfish,,,,
wagrin,,,,
0xrape,,,,
3-ds,,,,4C
waldsdorf,,,,
ofmydreams,,,,
openxxxsea,,,,
xn--g5hz430oucd,📷🧞♂,"Letters + CAMERA, GENIE, MALE SIGN",,PUNY_IDNA
ethereumeth2,,,,
repugna,,,,
seedwetrust,,,,
escry,,,,5L
8xox8,,,,5C
larian,,,,
imtimt,,,,
tonicless,,,,
xn--lg8hlq,🐋🌅,"Letters + WHALE, SUNRISE",,PUNY_IDNA
hnsiot,,,,
channeldao,,,,
russica,,,,
ens-india,,,,
quiltingnook,,,,
bnbme,,,,5L
kirnberg,,,,
livenewmedias,,,,
friendshop,,,,
xn--yyd07a,ሻይ,"Letters + ETHIOPIC SYLLABLE SHAA, ETHIOPIC SYLLABLE YE",,PUNY_IDNA
ens1dao,,,,
caym,,,,4L
xn--4gq759ctz4a,一日酱,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
kirschlag,,,,
ghostbat,,,,
sabirkand,,,,
floodins,,,,
tugd,,,,4L
euphemizer,,,,
xn--oorw50i,发芽,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
buxeria,,,,
unterwolligen,,,,
0xsenses,,,,
antigoyism,,,,
8non8,,,,5C
xn--os5bog,융자,"Letters + HANGUL SYLLABLE YUNG, HANGUL SYLLABLE JA",,PUNY_IDNA
waasenberg,,,,
rizalar,,,,
fisherpeople,,,,
sissyism,,,,
marinecargo,,,,
b4birth,,,,
xn--6stqm,币库,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
